week	copies_ml	population	region	actuals.hospitalBeds.weeklyCovidAdmissions	actuals.hospitalBeds.currentUsageCovid	actuals.icuBeds.currentUsageCovid	actuals.newDeaths	admits_rolling10	beds_rolling10	icu_rolling10	deaths_rolling5	hosp_date	deaths_date	admits_later	beds_later	icu_later	deaths_later
2020-11-25	622.158440269617	10,000,000-30,000,000	Nationwide	85646	97655	20802	2313	83605.54545454546	95050.90909090909	20308.0	1498.8333333333333	2020-12-09	2020-12-23	96268.18181818182	111778.63636363637	24004.636363636364	2332.6666666666665
2020-12-02	628.1804573185907	10,000,000-30,000,000	Nationwide	89614	108218	22925	2886	89446.54545454546	104114.18181818182	22405.909090909092	2179.1666666666665	2020-12-16	2020-12-30	102223.27272727272	118904.27272727272	25409.363636363636	2657.8333333333335
2020-12-09	675.27523908707	10,000,000-30,000,000	Nationwide	96527	114413	24564	3156	96268.18181818182	111778.63636363637	24004.636363636364	2419.6666666666665	2020-12-23	2021-01-06	105258.09090909091	123492.63636363637	26378.272727272728	3176.8333333333335
2020-12-16	725.558888054777	10,000,000-30,000,000	Nationwide	103951	121977	25918	3611	102223.27272727272	118904.27272727272	25409.363636363636	2639.8333333333335	2020-12-30	2021-01-13	107573.45454545454	128771.90909090909	27293.545454545456	3315.0
2020-12-23	755.3639216302936	3,000,000-10,000,000	Nationwide	106591	127243	26864	3412	105258.09090909091	123492.63636363637	26378.272727272728	2332.6666666666665	2021-01-06	2021-01-20	112995.81818181818	135030.27272727274	28090.727272727272	3031.3333333333335
2020-12-30	707.1662138385112	3,000,000-10,000,000	Nationwide	106745	132694	27631	3808	107573.45454545454	128771.90909090909	27293.545454545456	2657.8333333333335	2021-01-13	2021-01-27	113093.90909090909	134979.18181818182	28372.363636363636	3231.6666666666665
2021-01-06	812.7164460671271	3,000,000-10,000,000	Nationwide	114375	139272	28548	3964	112995.81818181818	135030.27272727274	28090.727272727272	3176.8333333333335	2021-01-20	2021-02-03	104005.0	126312.72727272728	27069.272727272728	3325.8333333333335
2021-01-13	685.2115953706556	3,000,000-10,000,000	Nationwide	112229	135482	28677	3930	113093.90909090909	134979.18181818182	28372.363636363636	3315.0	2021-01-27	2021-02-10	90417.36363636363	111213.18181818182	24439.454545454544	3108.1666666666665
2021-01-20	513.7885758512394	3,000,000-10,000,000	Nationwide	102751	126012	26942	4380	104005.0	126312.72727272728	27069.272727272728	3031.3333333333335	2021-02-03	2021-02-17	77043.18181818182	96054.27272727272	21593.272727272728	1916.5
2021-01-27	395.7592086477586	3,000,000-10,000,000	Nationwide	89036	110954	24307	4102	90417.36363636363	111213.18181818182	24439.454545454544	3231.6666666666665	2021-02-10	2021-02-24	65033.454545454544	81558.27272727272	18635.18181818182	2146.6666666666665
